Htno,Subcode,Subname,Grade,Credits
16T91A0106,R1631016,CONCRETE TECHNOLOGY LAB,S,2
16T91A0106,R1631017,GEOLOGY LAB,S,2
16T91A0106,R1631018,TRANSPORTATION ENGINEERING LAB,A,2
16T91A0107,R1631011,MANAGEMENT SCIENCE,B,3
16T91A0107,R1631012,ENGINEERING GEOLOGY,D,3
16T91A0107,R1631013,STRUCTURAL ANALYSIS -II,F,0
16T91A0107,R1631014,DESIGN & DRAWING OF REINFORCED CONCRETE,F,0
16T91A0107,R1631015,TRANSPORTATION ENGINEERING - II,D,3
16T91A0107,R1631016,CONCRETE TECHNOLOGY LAB,S,2
16T91A0107,R1631017,GEOLOGY LAB,S,2
16T91A0107,R1631018,TRANSPORTATION ENGINEERING LAB,A,2
16T91A0110,R1631011,MANAGEMENT SCIENCE,C,3
16T91A0110,R1631012,ENGINEERING GEOLOGY,C,3
16T91A0110,R1631013,STRUCTURAL ANALYSIS -II,B,3
16T91A0110,R1631014,DESIGN & DRAWING OF REINFORCED CONCRETE,C,3
16T91A0110,R1631015,TRANSPORTATION ENGINEERING - II,A,3
16T91A0110,R1631016,CONCRETE TECHNOLOGY LAB,A,2
16T91A0110,R1631017,GEOLOGY LAB,A,2
Htno,Subcode,Subname,Grade,Credits
16T91A0110,R1631018,TRANSPORTATION ENGINEERING LAB,S,2
16T91A0111,R1631011,MANAGEMENT SCIENCE,D,3
16T91A0111,R1631012,ENGINEERING GEOLOGY,B,3
16T91A0111,R1631013,STRUCTURAL ANALYSIS -II,A,3
16T91A0111,R1631014,DESIGN & DRAWING OF REINFORCED CONCRETE,A,3
16T91A0111,R1631015,TRANSPORTATION ENGINEERING - II,B,3
16T91A0111,R1631016,CONCRETE TECHNOLOGY LAB,O,2
16T91A0111,R1631017,GEOLOGY LAB,O,2
16T91A0111,R1631018,TRANSPORTATION ENGINEERING LAB,S,2
16T91A0112,R1631011,MANAGEMENT SCIENCE,F,0
16T91A0112,R1631012,ENGINEERING GEOLOGY,A,3
16T91A0112,R1631013,STRUCTURAL ANALYSIS -II,D,3
16T91A0112,R1631014,DESIGN & DRAWING OF REINFORCED CONCRETE,B,3
16T91A0112,R1631015,TRANSPORTATION ENGINEERING - II,B,3
16T91A0112,R1631016,CONCRETE TECHNOLOGY LAB,O,2
16T91A0112,R1631017,GEOLOGY LAB,O,2
16T91A0112,R1631018,TRANSPORTATION ENGINEERING LAB,S,2
16T91A0114,R1631011,MANAGEMENT SCIENCE,D,3
16T91A0114,R1631012,ENGINEERING GEOLOGY,D,3
16T91A0114,R1631013,STRUCTURAL ANALYSIS -II,C,3
16T91A0114,R1631014,DESIGN & DRAWING OF REINFORCED CONCRETE,C,3
16T91A0114,R1631015,TRANSPORTATION ENGINEERING - II,C,3
16T91A0114,R1631016,CONCRETE TECHNOLOGY LAB,S,2
16T91A0114,R1631017,GEOLOGY LAB,O,2
16T91A0114,R1631018,TRANSPORTATION ENGINEERING LAB,A,2
16T91A0201,R1631021,POWER SYSTEMS-II,F,0
16T91A0201,R1631022,RENEWABLE ENERGY SOURCES,F,0
16T91A0201,R1631023,SIGNALS AND SYSTEMS,F,0
16T91A0201,R1631024,PULSE & DIGITAL CIRCUITS,F,0
16T91A0201,R1631025,POWER ELECTRONICS,F,0
16T91A0201,R1631026,ELECTRICAL MACHINES-II LABORATORY,S,2
16T91A0201,R1631027,CONTROL SYSTEMS LABORATORY,S,2
16T91A0201,R1631028,ELECTRICAL MEASUREMENTS LABORATORY,A,2
16T91A0202,R1631021,POWER SYSTEMS-II,F,0
16T91A0202,R1631022,RENEWABLE ENERGY SOURCES,C,3
16T91A0202,R1631023,SIGNALS AND SYSTEMS,F,0
16T91A0202,R1631024,PULSE & DIGITAL CIRCUITS,F,0
16T91A0202,R1631025,POWER ELECTRONICS,F,0
16T91A0202,R1631026,ELECTRICAL MACHINES-II LABORATORY,S,2
16T91A0202,R1631027,CONTROL SYSTEMS LABORATORY,S,2
16T91A0202,R1631028,ELECTRICAL MEASUREMENTS LABORATORY,A,2
16T91A0301,R1631031,DYNAMICS OF MACHINERY,F,0
16T91A0301,R1631032,METAL CUTTING & MACHINE TOOLS,D,3
16T91A0301,R1631033,DESIGN OF MACHINE MEMBERS-II,D,3
16T91A0301,R1631034,OPERATIONS RESEARCH,D,3
16T91A0301,R1631035,THERMAL ENGINEERING -II,F,0
16T91A0301,R1631036,THEORY OF MACHINES LAB,S,2
16T91A0301,R1631037,MACHINE TOOLS LAB,S,2
16T91A0301,R1631038,THERMAL ENGINEERING LAB,S,2
16T91A0302,R1631031,DYNAMICS OF MACHINERY,C,3
16T91A0302,R1631032,METAL CUTTING & MACHINE TOOLS,D,3
Htno,Subcode,Subname,Grade,Credits
16T91A0302,R1631033,DESIGN OF MACHINE MEMBERS-II,F,0
16T91A0302,R1631034,OPERATIONS RESEARCH,C,3
16T91A0302,R1631035,THERMAL ENGINEERING -II,F,0
16T91A0302,R1631036,THEORY OF MACHINES LAB,O,2
16T91A0302,R1631037,MACHINE TOOLS LAB,S,2
16T91A0302,R1631038,THERMAL ENGINEERING LAB,O,2
16T91A0303,R1631031,DYNAMICS OF MACHINERY,D,3
